period,slice,model,n,dates,BA,MCC,Brier,up_recall,down_recall,pred_up,actual_up,mean_probability
validation,news,static,73,31,0.5551529790660226,0.1133590266897589,0.262782099399345,0.7407407407407407,0.3695652173913043,0.6712328767123288,0.3698630136986301,0.5441822083534429
validation,news,gate,73,31,0.5551529790660226,0.1133590266897589,0.262782099399345,0.7407407407407407,0.3695652173913043,0.6712328767123288,0.3698630136986301,0.5441822083534429
validation,news,gate_cal,73,31,0.5660225442834138,0.13433600449668404,0.25877143253421003,0.7407407407407407,0.391304347826087,0.6575342465753424,0.3698630136986301,0.5368458374007472
validation,news,primary_gate,73,31,0.5551529790660226,0.1133590266897589,0.262782099399345,0.7407407407407407,0.3695652173913043,0.6712328767123288,0.3698630136986301,0.5441822083534429
validation,no_news,constant,53,24,0.5,0.0,0.25,1.0,0.0,1.0,0.41509433962264153,0.5
validation,no_news,prior,53,24,0.5,0.0,0.26021498890699307,1.0,0.0,1.0,0.41509433962264153,0.5470941883767536
validation,no_news,title,53,24,0.4662756598240469,-0.06744868035190615,0.2776910478084682,0.5454545454545454,0.3870967741935484,0.5849056603773585,0.41509433962264153,0.5561475676544746
validation,no_news,price,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,no_news,old_body,53,24,0.5608504398826979,0.1478648398604057,0.2546240515287665,0.8636363636363636,0.25806451612903225,0.7924528301886793,0.41509433962264153,0.5527280500771793
validation,no_news,old_semantic,53,24,0.3885630498533724,-0.22287390029325513,0.2822369637041804,0.45454545454545453,0.3225806451612903,0.5849056603773585,0.41509433962264153,0.5665897135602569
validation,no_news,old_integrated,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,no_news,body,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,no_news,semantic,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,no_news,static,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,no_news,gate,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,no_news,gate_cal,53,24,0.436950146627566,-0.12446786607714488,0.2577608768616314,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5267365142122421
validation,no_news,primary_gate,53,24,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.45454545454545453,0.41935483870967744,0.5283018867924528,0.41509433962264153,0.5328378512288074
validation,2018-09,constant,57,19,0.5,0.0,0.25,1.0,0.0,1.0,0.49122807017543857,0.5
validation,2018-09,prior,57,19,0.5,0.0,0.25304407641003623,1.0,0.0,1.0,0.49122807017543857,0.5470941883767536
validation,2018-09,title,57,19,0.44027093596059114,-0.12172795978705897,0.2756094317865654,0.5357142857142857,0.3448275862068966,0.5964912280701754,0.49122807017543857,0.5182188907539009
validation,2018-09,price,57,19,0.5283251231527094,0.05817474046899912,0.24694643796602234,0.6428571428571429,0.41379310344827586,0.6140350877192983,0.49122807017543857,0.523893104857683
validation,2018-09,old_body,57,19,0.5443349753694582,0.08877935232369505,0.24712030362574378,0.5714285714285714,0.5172413793103449,0.5263157894736842,0.49122807017543857,0.4854748196434814
