method,symbol,period,scope,n,BA,MCC,Brier,pred_up,constant,up_rate,invalid_n,news_ratio,days
matched_price,AAPL,test,all,178,0.5291777188328912,0.0726216698045009,0.2664609743091293,0.797752808988764,False,0.4887640449438202,0,1.0,60
matched_price,AAPL,validation,all,126,0.513184584178499,0.03847044203651039,0.25731927571413166,0.8650793650793651,False,0.4603174603174603,0,0.9841269841269841,42
matched_price,AAPL,2018-09,all,57,0.49753694581280783,-0.007089880956935217,0.25016954644028583,0.8596491228070176,False,0.49122807017543857,0,0.9824561403508771,19
matched_price,AAPL,2018-10,all,69,0.5269230769230769,0.0792593923901217,0.2632255738099173,0.8695652173913043,False,0.43478260869565216,0,0.9855072463768116,23
matched_price,AAPL,2018-11,all,60,0.5044493882091212,0.01308167862835013,0.263622124047991,0.8666666666666667,False,0.5166666666666667,0,1.0,20
matched_price,AAPL,2018-12,all,53,0.5712074303405573,0.14876840780186812,0.2748050831535572,0.6981132075471698,False,0.3584905660377358,0,1.0,18
matched_price,AAPL,2019-01,all,63,0.5015592515592516,0.003909831197463945,0.2584147369568834,0.8095238095238095,False,0.5873015873015873,0,1.0,21
matched_price,AAPL,2019-02,all,2,,0.0,0.3839640743616841,1.0,True,0.0,0,1.0,1
matched_price,AMZN,test,all,179,0.46201501877346685,-0.07915464295431036,0.267718364683913,0.6424581005586593,False,0.5251396648044693,0,0.4692737430167598,60
matched_price,AMZN,validation,all,126,0.5009276437847867,0.0018552875695732839,0.26197018026304997,0.6111111111111112,False,0.3888888888888889,0,0.5793650793650794,42
matched_price,AMZN,2018-09,all,57,0.5283251231527094,0.05817474046899912,0.24694642201174377,0.6140350877192983,False,0.49122807017543857,0,0.6666666666666666,19
matched_price,AMZN,2018-10,all,69,0.4732142857142857,-0.05050762722761054,0.27438111099238993,0.6086956521739131,False,0.30434782608695654,0,0.5072463768115942,23
matched_price,AMZN,2018-11,all,60,0.5208333333333334,0.041192627728581725,0.2665918525443083,0.5666666666666667,False,0.6,0,0.5166666666666667,20
matched_price,AMZN,2018-12,all,54,0.42030075187969923,-0.15763062091253158,0.27130153468009777,0.6296296296296297,False,0.35185185185185186,0,0.5,18
matched_price,AMZN,2019-01,all,63,0.42894736842105263,-0.15389675281277312,0.2665854322262489,0.7142857142857143,False,0.6031746031746031,0,0.4126984126984127,21
matched_price,AMZN,2019-02,all,2,0.5,0.0,0.24045551139148716,1.0,True,0.5,0,0.0,1
