method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
P_cross_tabpfn_temperature,AMZN,train_forward_oof,382,0.5018851308583537,0.0044165061756924135,0.25780279941465284,0.7617801047120419,0
P_own_hgb_temperature,AAPL,development,126,0.5608519269776876,0.14242182297397127,0.2482390840082763,0.7619047619047619,0
P_own_hgb_temperature,AAPL,later,178,0.4599595806492358,-0.0890674355972493,0.2555748257784527,0.7191011235955056,0
P_own_hgb_temperature,AAPL,train_forward_oof,383,0.5372583281663943,0.07372103424389348,0.2646401776975843,0.5535248041775457,0
P_own_hgb_temperature,AMZN,development,126,0.549165120593692,0.10231259871920485,0.24998951406346565,0.6746031746031746,0
P_own_hgb_temperature,AMZN,later,179,0.5138297872340425,0.0283790593375868,0.24999433212304972,0.6145251396648045,0
P_own_hgb_temperature,AMZN,train_forward_oof,382,0.4378732421498748,-0.127119485216896,0.2683153457687109,0.6099476439790575,0
P_own_lr_temperature,AAPL,development,126,0.5423427991886409,0.0950921444666288,0.2447713539980723,0.7301587301587301,0
P_own_lr_temperature,AAPL,later,178,0.5318933939623595,0.06773475575686679,0.2481731408865512,0.6685393258426966,0
P_own_lr_temperature,AAPL,train_forward_oof,383,0.5386674933769235,0.07611348404177302,0.25864889378443817,0.5169712793733682,0
P_own_lr_temperature,AMZN,development,126,0.5315398886827458,0.06387187202625091,0.24964928689725485,0.6349206349206349,0
P_own_lr_temperature,AMZN,later,179,0.5026282853566959,0.0053933053944735096,0.24930447645129475,0.6145251396648045,0
P_own_lr_temperature,AMZN,train_forward_oof,382,0.5298456119107245,0.06252583835712863,0.260061689016838,0.6518324607329843,0
P_own_tabpfn_temperature,AAPL,development,126,0.5524847870182557,0.14951465315404883,0.24935128458948497,0.8571428571428571,0
P_own_tabpfn_temperature,AAPL,later,178,0.45648604269293924,-0.11194325436735891,0.25539232755209845,0.8146067415730337,0
P_own_tabpfn_temperature,AAPL,train_forward_oof,383,0.5529141536553746,0.10425356706418466,0.2547437814531535,0.5274151436031331,0
P_own_tabpfn_temperature,AMZN,development,126,0.5742115027829313,0.16622858516380254,0.25000497242675834,0.746031746031746,0
P_own_tabpfn_temperature,AMZN,later,179,0.5227784730913642,0.04799788190327827,0.24995104327530346,0.659217877094972,0
P_own_tabpfn_temperature,AMZN,train_forward_oof,382,0.4915237911770372,-0.021190376267280098,0.26128689625992213,0.8010471204188482,0
T_A1_temperature,AAPL,development,126,0.5190162271805274,0.04311460004568581,0.2497377371792972,0.7380952380952381,0
T_A1_temperature,AAPL,later,178,0.5433876468359227,0.09297074296671386,0.24966475194402923,0.6797752808988764,0
T_A1_temperature,AAPL,train_forward_oof,383,0.505678935798433,0.011369091783513554,0.25454167838085673,0.5926892950391645,0
T_A1_temperature,AMZN,development,126,0.5092764378478664,0.018146220519527786,0.2499481213920458,0.5396825396825397,0
T_A1_temperature,AMZN,later,179,0.4665206508135169,-0.06725395075843722,0.24982776736588336,0.553072625698324,0
T_A1_temperature,AMZN,train_forward_oof,382,0.5444725761620387,0.0918432037233606,0.25852143389371834,0.6282722513089005,0
T_A1_interaction_temperature,AAPL,development,126,0.5443711967545639,0.08901363935873205,0.24979599239825376,0.5555555555555556,0
T_A1_interaction_temperature,AAPL,later,178,0.5453454591385626,0.09071956988061922,0.24986701861428595,0.5168539325842697,0
