method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
H2,AAPL,development,1,124,0.5493697478991597,0.13360038436323407,0.25484949981781335,0.8387096774193549,0
H2,AAPL,later,1,178,0.517683465959328,0.04314414756838928,0.26334746661995173,0.7865168539325843,0
H2,AAPL,train_forward_oof,0,4,0.5,0.0,0.13282749789196258,0.0,1
H2,AAPL,train_forward_oof,1,379,0.5253823953823954,0.04989541503025337,0.2983521969890428,0.5171503957783641,0
H2,AMZN,development,0,53,0.5571847507331378,0.11899593906882798,0.26596498057789175,0.660377358490566,0
H2,AMZN,development,1,73,0.5265700483091788,0.05214207169780676,0.24829992867949965,0.410958904109589,0
H2,AMZN,later,0,95,0.5299202127659575,0.08204905771756568,0.2564103319074355,0.8421052631578947,0
H2,AMZN,later,1,84,0.4732604945370903,-0.056847824269468085,0.2847773194216538,0.32142857142857145,0
H2,AMZN,train_forward_oof,0,184,0.5572612085769981,0.124518992212773,0.2784434397120744,0.7119565217391305,0
H2,AMZN,train_forward_oof,1,198,0.42810424118548795,-0.15076283028973278,0.3646440165306157,0.3484848484848485,0
P_cross_hgb,AAPL,development,0,2,,0.0,0.19146611913870892,1.0,1
P_cross_hgb,AAPL,development,1,124,0.5105042016806722,0.025005001500500175,0.2887494599101357,0.7741935483870968,0
P_cross_hgb,AAPL,later,1,178,0.49842111911077425,-0.003383214809560184,0.28112509978306216,0.6797752808988764,0
P_cross_hgb,AAPL,train_forward_oof,0,4,1.0,1.0,0.14970687712410255,0.25,0
P_cross_hgb,AAPL,train_forward_oof,1,379,0.5481240981240981,0.09587812634901735,0.27590041047806924,0.58311345646438,0
P_cross_hgb,AMZN,development,0,53,0.5021994134897361,0.004643584536794138,0.2716908604068823,0.6792452830188679,0
P_cross_hgb,AMZN,development,1,73,0.4887278582930757,-0.02272802144371838,0.2903573055762252,0.6438356164383562,0
P_cross_hgb,AMZN,later,0,95,0.5915336879432624,0.19875109831407883,0.2334817834071068,0.6947368421052632,0
P_cross_hgb,AMZN,later,1,84,0.42035652673950546,-0.15928694652098907,0.285688640606378,0.5595238095238095,0
P_cross_hgb,AMZN,train_forward_oof,0,184,0.45248538011695905,-0.10585490934211908,0.2853972329556068,0.7336956521739131,0
P_cross_hgb,AMZN,train_forward_oof,1,198,0.41568727644353604,-0.178708247461559,0.3079877100359657,0.6666666666666666,0
P_cross_lr,AAPL,development,0,2,,0.0,0.16437809183495977,0.5,0
P_cross_lr,AAPL,development,1,124,0.5105042016806722,0.025005001500500175,0.2641739869291792,0.7741935483870968,0
P_cross_lr,AAPL,later,1,178,0.548376910445876,0.10151345467399929,0.2707471814466843,0.651685393258427,0
P_cross_lr,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.2585740953894691,0.75,0
P_cross_lr,AAPL,train_forward_oof,1,379,0.5488023088023088,0.09638831317320251,0.26747058601831564,0.5514511873350924,0
P_cross_lr,AMZN,development,0,53,0.5696480938416422,0.1372975735012581,0.2631644254693594,0.5094339622641509,0
P_cross_lr,AMZN,development,1,73,0.5736714975845411,0.15312333226333552,0.28666252589062524,0.684931506849315,0
P_cross_lr,AMZN,later,0,95,0.5593971631205674,0.12389702273787535,0.2436722086698031,0.6421052631578947,0
P_cross_lr,AMZN,later,1,84,0.42035652673950546,-0.15928694652098907,0.317070866947771,0.5595238095238095,0
P_cross_lr,AMZN,train_forward_oof,0,184,0.5328947368421053,0.07237093397591142,0.24320637386592886,0.7228260869565217,0
P_cross_lr,AMZN,train_forward_oof,1,198,0.45288707204905465,-0.0955684594393315,0.27831620542454677,0.5858585858585859,0
P_cross_tabpfn,AAPL,development,0,2,,0.0,0.2107040737421375,1.0,1
P_cross_tabpfn,AAPL,development,1,124,0.5304621848739496,0.0989706333503757,0.25977735893442805,0.8951612903225806,0
P_cross_tabpfn,AAPL,later,1,178,0.5017051913603637,0.004495147298372669,0.2676656832601392,0.8258426966292135,0
P_cross_tabpfn,AAPL,train_forward_oof,0,4,0.8333333333333333,0.5773502691896258,0.16218245941151954,0.5,0
P_cross_tabpfn,AAPL,train_forward_oof,1,379,0.5055555555555555,0.010915350666574663,0.2638942698424094,0.5065963060686016,0
P_cross_tabpfn,AMZN,development,0,53,0.5476539589442815,0.10425184303774183,0.2553329130886943,0.7169811320754716,0
P_cross_tabpfn,AMZN,development,1,73,0.5040257648953301,0.00847115783516474,0.2477023097324729,0.6986301369863014,0
P_cross_tabpfn,AMZN,later,0,95,0.5811170212765957,0.1779078538569958,0.2410986232239261,0.7052631578947368,0
P_cross_tabpfn,AMZN,later,1,84,0.5025876940770557,0.005501402348658202,0.25969037124983113,0.6785714285714286,0
P_cross_tabpfn,AMZN,train_forward_oof,0,184,0.49951267056530213,-0.001236477520165905,0.25960364878380854,0.8152173913043478,0
P_cross_tabpfn,AMZN,train_forward_oof,1,198,0.4934082779764946,-0.014546627274719082,0.2651595061730688,0.7121212121212122,0
P_own_hgb,AAPL,development,0,2,,0.0,0.20132547884373556,0.5,0
