CIK,ticker,issuer_name,training_period_SIC_evidence,derived_FF12_industry,industry_status,source,mapping_source,mapping_sha256
1002242,E,ENI SPA,"[{""filing_date"":""2018-04-06"",""accession"":""0001174947-18-000586"",""form"":""20-F"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-04-02"",""accession"":""0001104659-21-046015"",""form"":""20-F"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
844965,TTI,TETRA TECHNOLOGIES INC,"[{""filing_date"":""2018-03-05"",""accession"":""0000844965-18-000004"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-01"",""accession"":""0000844965-21-000015"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1086600,ARLP,ALLIANCE RESOURCE PARTNERS LP,"[{""filing_date"":""2018-02-23"",""accession"":""0001558370-18-000985"",""form"":""10-K"",""SIC"":1221,""FF12"":""Enrgy""},{""filing_date"":""2021-11-04"",""accession"":""0001558370-21-014490"",""form"":""10-Q"",""SIC"":1221,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1035002,VLO,VALERO ENERGY CORP/TX,"[{""filing_date"":""2018-02-28"",""accession"":""0001035002-18-000010"",""form"":""10-K"",""SIC"":2911,""FF12"":""Enrgy""},{""filing_date"":""2021-10-27"",""accession"":""0001035002-21-000118"",""form"":""10-Q"",""SIC"":2911,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
821483,PARR,"PAR PACIFIC HOLDINGS, INC.","[{""filing_date"":""2018-03-12"",""accession"":""0000821483-18-000017"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-04"",""accession"":""0000821483-21-000069"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1070412,CNX,CNX Resources Corp,"[{""filing_date"":""2018-02-07"",""accession"":""0001070412-18-000031"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-10-28"",""accession"":""0001070412-21-000065"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1288403,WTI,W&T OFFSHORE INC,"[{""filing_date"":""2018-03-02"",""accession"":""0001564590-18-004217"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-03"",""accession"":""0001558370-21-014346"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
2115436,XOM,ExxonMobil Holdings Corp,[],UNRESOLVED,INDUSTRY_UNRESOLVED,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1163165,COP,CONOCOPHILLIPS,"[{""filing_date"":""2018-10-30"",""accession"":""0001193125-18-311600"",""form"":""10-Q"",""SIC"":2911,""FF12"":""Enrgy""},{""filing_date"":""2021-11-04"",""accession"":""0001562762-21-000409"",""form"":""10-Q"",""SIC"":2911,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1064728,BTU,PEABODY ENERGY CORP,"[{""filing_date"":""2018-02-26"",""accession"":""0001064728-18-000007"",""form"":""10-K"",""SIC"":1221,""FF12"":""Enrgy""},{""filing_date"":""2021-11-05"",""accession"":""0001064728-21-000045"",""form"":""10-Q"",""SIC"":1221,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1534701,PSX,Phillips 66,"[{""filing_date"":""2018-02-23"",""accession"":""0001534701-18-000065"",""form"":""10-K"",""SIC"":2911,""FF12"":""Enrgy""},{""filing_date"":""2021-10-29"",""accession"":""0001534701-21-000209"",""form"":""10-Q"",""SIC"":2911,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1539838,FANG,"Diamondback Energy, Inc.","[{""filing_date"":""2018-02-15"",""accession"":""0001539838-18-000014"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-04"",""accession"":""0001539838-21-000126"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1841666,APA,APA Corp,"[{""filing_date"":""2021-05-07"",""accession"":""0001673379-21-000012"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-05"",""accession"":""0001673379-21-000029"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1069533,RGCO,RGC RESOURCES INC,"[{""filing_date"":""2019-08-06"",""accession"":""0001069533-19-000038"",""form"":""10-Q"",""SIC"":4923,""FF12"":""Utils""},{""filing_date"":""2021-12-02"",""accession"":""0001437749-21-027683"",""form"":""10-K"",""SIC"":4923,""FF12"":""Utils""}]",Utils,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1993004,NWE,"NorthWestern Energy Group, Inc.",[],UNRESOLVED,INDUSTRY_UNRESOLVED,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
