symbol,first_date,last_date,trading_rows,rows_2018_2023,missing_ohlcv_rows,missing_ohlcv_rate,duplicate_dates,non_monotonic_dates,invalid_ohlc_rows,adjusted_close_available_fraction,price_eligible_2018_2023
DMRM,2017-08-02,2020-07-02,548,533,0,0.0,0,0,0,1.0,0
APEN,2007-05-01,2020-07-02,3318,630,0,0.0,0,0,0,1.0,0
HYLD,2010-12-01,2020-07-02,2411,630,0,0.0,0,0,0,1.0,0
NCB,2009-04-28,2020-07-02,2815,629,0,0.0,0,0,0,1.0,0
BVN,1996-05-15,2023-12-28,6953,1508,0,0.0,0,0,0,1.0,1
IMMP,2015-01-02,2020-07-02,1373,626,0,0.0,0,0,0,1.0,0
ICCC,1987-05-05,2023-12-28,9237,1508,0,0.0,0,0,1276,1.0,0
HNNA,2005-03-09,2023-12-28,4735,1508,0,0.0,0,0,0,1.0,1
FLWS,1999-08-03,2023-12-28,6142,1508,0,0.0,0,0,0,1.0,1
LZB,1973-02-21,2023-12-28,12826,1508,0,0.0,0,0,3570,1.0,0
EQL,2009-07-07,2023-12-28,3646,1508,0,0.0,0,0,0,1.0,1
nxtc,2019-05-09,2023-12-28,1169,1169,0,0.0,0,0,0,1.0,0
LIVE,2002-01-29,2023-12-28,5518,1508,0,0.0,0,0,0,1.0,1
GJS,2006-04-28,2023-12-28,4448,1508,0,0.0,0,0,0,1.0,1
ALTA,2020-01-02,2020-07-02,3,3,0,0.0,0,0,0,1.0,0
EWRE,2015-08-14,2020-07-02,1058,628,0,0.0,0,0,0,1.0,0
PEIX,2005-03-24,2020-07-02,3836,630,0,0.0,0,0,0,1.0,0
MSTR,1998-06-11,2023-12-28,6430,1508,0,0.0,0,0,0,1.0,1
LEMB,2011-10-20,2023-12-28,3067,1508,0,0.0,0,0,0,1.0,1
IJK,2000-07-28,2020-07-02,5014,630,0,0.0,0,0,0,1.0,0
GDX,2006-05-22,2023-12-28,4432,1508,0,0.0,0,0,0,1.0,1
FDUSL,2020-07-02,2020-07-02,1,1,0,0.0,0,0,1,1.0,0
CHCI,2004-12-14,2023-12-28,4793,1508,0,0.0,0,0,0,1.0,1
KRO,2003-12-09,2023-12-28,5048,1508,0,0.0,0,0,0,1.0,1
NOV,1996-10-29,2023-12-28,6837,1508,0,0.0,0,0,0,1.0,1
UAPR,2019-04-01,2023-12-28,1196,1196,0,0.0,0,0,0,1.0,0
WPRT,2008-08-15,2023-12-28,3869,1508,0,0.0,0,0,0,1.0,1
