stage,symbol,seed,method,has_news,n,BA,Brier,MCC,accuracy,predicted_up,constant
grouped,AAPL,574,PRICE,False,6,0.5,0.31092696002465314,0.0,0.5,0.6666666666666666,False
grouped,AAPL,574,PRICE,True,797,0.5667078893962456,0.24571156256290944,0.13890591002811725,0.5784190715181933,0.644918444165621,False
grouped,AAPL,574,FULL,False,6,0.5,0.31092696002465314,0.0,0.5,0.6666666666666666,False
grouped,AAPL,574,FULL,True,797,0.530542871638762,0.26703487838877343,0.06138428110170222,0.5357590966122961,0.5646173149309912,False
grouped,AAPL,574,GROUP_SVM,False,6,0.5,0.31092696002465314,0.0,0.5,0.6666666666666666,False
grouped,AAPL,574,GROUP_SVM,True,797,0.4904331557584982,0.25020397402390626,-0.06598044533730908,0.5307402760351317,0.9786700125470514,False
grouped,AAPL,575,PRICE,False,6,0.3333333333333333,0.30229136319579525,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
grouped,AAPL,575,PRICE,True,797,0.5409151445966515,0.25017132226977173,0.08474213725757784,0.5520702634880803,0.6361355081555834,False
grouped,AAPL,575,FULL,False,6,0.3333333333333333,0.30229136319579525,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
grouped,AAPL,575,FULL,True,797,0.5156868340943683,0.2726360591375477,0.03162925130168508,0.5219573400250941,0.5759096612296111,False
grouped,AAPL,575,GROUP_SVM,False,6,0.3333333333333333,0.30229136319579525,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
grouped,AAPL,575,GROUP_SVM,True,797,0.4978025114155251,0.2497030860927019,-0.016113724083628964,0.5382685069008782,0.9811794228356336,False
grouped,AMZN,573,PRICE,False,389,0.5430671148100725,0.2461951012519182,0.0889173144053124,0.5552699228791774,0.6323907455012854,False
grouped,AMZN,573,PRICE,True,415,0.48361836601914676,0.26552702133448625,-0.03316488670481181,0.4819277108433735,0.5783132530120482,False
grouped,AMZN,573,FULL,False,389,0.5430671148100725,0.2461951012519182,0.0889173144053124,0.5552699228791774,0.6323907455012854,False
grouped,AMZN,573,FULL,True,415,0.4676433683427828,0.26246859066841555,-0.0660993629145844,0.46987951807228917,0.39759036144578314,False
grouped,AMZN,573,GROUP_SVM,False,389,0.5430671148100725,0.2461951012519182,0.0889173144053124,0.5552699228791774,0.6323907455012854,False
grouped,AMZN,573,GROUP_SVM,True,415,0.48309554791337483,0.255285243989387,-0.03400143619420518,0.4819277108433735,0.5542168674698795,False
grouped,AMZN,574,PRICE,False,389,0.5601125693555271,0.2516464366109916,0.12309563907077149,0.570694087403599,0.6169665809768637,False
grouped,AMZN,574,PRICE,True,415,0.48157356631657217,0.2660325927412534,-0.03753047975496672,0.4795180722891566,0.5951807228915663,False
grouped,AMZN,574,FULL,False,389,0.5601125693555271,0.2516464366109916,0.12309563907077149,0.570694087403599,0.6169665809768637,False
grouped,AMZN,574,FULL,True,415,0.5045891811506646,0.277348057403644,0.009257867536558738,0.5060240963855421,0.43373493975903615,False
grouped,AMZN,574,GROUP_SVM,False,389,0.5601125693555271,0.2516464366109916,0.12309563907077149,0.570694087403599,0.6169665809768637,False
grouped,AMZN,574,GROUP_SVM,True,415,0.506146017287852,0.2518213352948506,0.01380374822705651,0.5012048192771085,0.727710843373494,False
grouped,AMZN,575,PRICE,False,389,0.5326904609475032,0.25334613440410275,0.06749344614661526,0.5449871465295629,0.6323907455012854,False
grouped,AMZN,575,PRICE,True,415,0.48639511106980204,0.26768088253580413,-0.02771008309777177,0.4843373493975904,0.5951807228915663,False
grouped,AMZN,575,FULL,False,389,0.5326904609475032,0.25334613440410275,0.06749344614661526,0.5449871465295629,0.6323907455012854,False
grouped,AMZN,575,FULL,True,415,0.4688981317966354,0.29648264552464154,-0.06243775799670693,0.46987951807228917,0.45542168674698796,False
grouped,AMZN,575,GROUP_SVM,False,389,0.5326904609475032,0.25334613440410275,0.06749344614661526,0.5449871465295629,0.6323907455012854,False
grouped,AMZN,575,GROUP_SVM,True,415,0.44913560739845715,0.2553631197638131,-0.10211150710107693,0.44819277108433736,0.5445783132530121,False
aggregation,AAPL,573,PRICE,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,573,PRICE,True,797,0.5508117706747844,0.2477562439315101,0.10539681706966593,0.562107904642409,0.6386449184441656,False
aggregation,AAPL,573,FULL,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,573,FULL,True,797,0.685958904109589,0.21829072503723085,0.3753979426338887,0.6913425345043914,0.5796737766624843,False
aggregation,AAPL,573,CONTROL,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,573,CONTROL,True,797,0.7119641045154743,0.20357081505858374,0.42881030318642727,0.7176913425345044,0.5859473023839398,False
aggregation,AAPL,573,SET_BASE,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
aggregation,AAPL,573,SET_BASE,True,797,0.6443207762557077,0.22005303646768704,0.2993587952628373,0.6549560853199499,0.6386449184441656,False
