stage,symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,574,FULL,2018-03,62,0.740625,0.19422316767863468,0.48326782855643,0.7419354838709677,0.5483870967741935,False
aggregation,AAPL,574,FULL,2018-04,63,0.6355846774193548,0.20999851631362632,0.2719931623715739,0.6349206349206349,0.5396825396825397,False
aggregation,AAPL,574,FULL,2018-05,66,0.7539608574091332,0.17407278602078552,0.5079217148182665,0.7575757575757576,0.5606060606060606,False
aggregation,AAPL,574,FULL,2018-06,63,0.7731481481481481,0.1831740389387528,0.5462962962962963,0.7777777777777778,0.5714285714285714,False
aggregation,AAPL,574,FULL,2018-07,60,0.6117216117216117,0.20203725936439212,0.2365105131529837,0.6666666666666666,0.7166666666666667,False
aggregation,AAPL,574,FULL,2018-08,69,0.5408496732026145,0.22628362700842222,0.08697559598404854,0.6666666666666666,0.782608695652174,False
aggregation,AAPL,574,FULL,2018-09,57,0.6157635467980296,0.24441383111745485,0.2359263550512071,0.6140350877192983,0.5964912280701754,False
aggregation,AAPL,574,FULL,2018-10,69,0.5564102564102564,0.2968574661370494,0.11215151616435054,0.5507246376811594,0.5362318840579711,False
aggregation,AAPL,574,FULL,2018-11,60,0.6490545050055617,0.2578883362214986,0.29860765938669176,0.65,0.5333333333333333,False
aggregation,AAPL,574,FULL,2018-12,53,0.6602167182662538,0.24397023262116896,0.32921406053007696,0.6981132075471698,0.32075471698113206,False
aggregation,AAPL,574,FULL,2019-01,63,0.58004158004158,0.24131341820320404,0.15860619520032992,0.5873015873015873,0.5555555555555556,False
aggregation,AAPL,574,FULL,2019-02,2,,0.2261061254996965,,,0.5,False
aggregation,AAPL,574,CONTROL,2018-01,59,0.5532407407407407,0.23481328993596615,0.10735480644214741,0.559322033898305,0.576271186440678,False
aggregation,AAPL,574,CONTROL,2018-02,57,0.7462500000000001,0.19260056587324823,0.49813591136281105,0.7543859649122807,0.5964912280701754,False
aggregation,AAPL,574,CONTROL,2018-03,62,0.7885416666666667,0.16470973344451798,0.5816453279086441,0.7903225806451613,0.5645161290322581,False
aggregation,AAPL,574,CONTROL,2018-04,63,0.6839717741935484,0.2074379281266022,0.3736366696063465,0.6825396825396826,0.5873015873015873,False
aggregation,AAPL,574,CONTROL,2018-05,66,0.8117427772600186,0.19235227310992198,0.6293787436942517,0.8181818181818182,0.5909090909090909,False
aggregation,AAPL,574,CONTROL,2018-06,63,0.7175925925925926,0.18381904057083245,0.4434751717066333,0.7301587301587301,0.6190476190476191,False
aggregation,AAPL,574,CONTROL,2018-07,60,0.6593406593406593,0.19405669454232585,0.32676070742611896,0.7,0.6833333333333333,False
aggregation,AAPL,574,CONTROL,2018-08,69,0.6633986928104575,0.17387217375459996,0.35682440602545873,0.7681159420289855,0.7971014492753623,False
aggregation,AAPL,574,CONTROL,2018-09,57,0.5098522167487685,0.2512603252636974,0.019851666679418605,0.5087719298245614,0.5614035087719298,False
aggregation,AAPL,574,CONTROL,2018-10,69,0.5782051282051281,0.2519781214903629,0.15522080754041673,0.5797101449275363,0.4782608695652174,False
aggregation,AAPL,574,CONTROL,2018-11,60,0.5995550611790879,0.23504422268762395,0.19911012235817574,0.6,0.5166666666666667,False
aggregation,AAPL,574,CONTROL,2018-12,53,0.6656346749226006,0.20982331598202722,0.3182354044837902,0.660377358490566,0.4716981132075472,False
aggregation,AAPL,574,CONTROL,2019-01,63,0.6398128898128899,0.20250421292561355,0.2796257796257796,0.6507936507936508,0.5873015873015873,False
aggregation,AAPL,574,CONTROL,2019-02,2,,0.13644498468906396,,,0.0,True
aggregation,AAPL,574,SET_BASE,2018-01,59,0.6226851851851851,0.2285188573717685,0.28734835481262366,0.6440677966101694,0.7627118644067796,False
aggregation,AAPL,574,SET_BASE,2018-02,57,0.719375,0.21176175977029396,0.436033255612459,0.7192982456140351,0.5263157894736842,False
aggregation,AAPL,574,SET_BASE,2018-03,62,0.6270833333333333,0.22533024618663738,0.2561759205951429,0.6290322580645161,0.5645161290322581,False
aggregation,AAPL,574,SET_BASE,2018-04,63,0.701108870967742,0.22299351628674177,0.42656259231359034,0.6984126984126984,0.6666666666666666,False
aggregation,AAPL,574,SET_BASE,2018-05,66,0.6640260950605779,0.22081525591049636,0.34538631342107645,0.6818181818181818,0.6666666666666666,False
