stage,symbol,seed,block,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AMZN,573,573_AMZN_5,PRICE,80,0.42105263157894735,0.2714859750068988,-0.15950184936715078,0.425,0.575,False
preprocess,AMZN,573,573_AMZN_5,FULL,80,0.5238095238095238,0.2944661849612863,0.047619047619047616,0.525,0.525,False
preprocess,AMZN,573,573_AMZN_5,CONTROL,80,0.5488721804511278,0.24867649397330666,0.09774436090225563,0.55,0.525,False
preprocess,AMZN,573,573_AMZN_5,FREQUENCY,80,0.5225563909774436,0.2508793266758823,0.04528334128517262,0.525,0.55,False
preprocess,AMZN,573,573_AMZN_5,NEGATION,80,0.5488721804511278,0.24864871433026564,0.09774436090225563,0.55,0.525,False
preprocess,AMZN,573,573_AMZN_5,NUMERIC,80,0.5488721804511278,0.2459856649512669,0.09774436090225563,0.55,0.525,False
preprocess,AMZN,573,573_AMZN_5,NO_STEM,80,0.5357142857142857,0.24961698247601866,0.07154072186885414,0.5375,0.5375,False
preprocess,AMZN,573,573_AMZN_6,PRICE,80,0.4380863039399625,0.2553670941837856,-0.12394371660990718,0.4375,0.475,False
preprocess,AMZN,573,573_AMZN_6,FULL,80,0.5387742338961852,0.24848482980219294,0.07791478285785412,0.5375,0.45,False
preprocess,AMZN,573,573_AMZN_6,CONTROL,80,0.5131332082551594,0.24273501586040247,0.026291091402101525,0.5125,0.475,False
preprocess,AMZN,573,573_AMZN_6,FREQUENCY,80,0.5265791119449656,0.24333539782366417,0.05356170765941946,0.525,0.4375,False
preprocess,AMZN,573,573_AMZN_6,NEGATION,80,0.5131332082551594,0.24271037455197036,0.026291091402101525,0.5125,0.475,False
preprocess,AMZN,573,573_AMZN_6,NUMERIC,80,0.5259537210756723,0.24150495450507573,0.0520377811943295,0.525,0.4625,False
preprocess,AMZN,573,573_AMZN_6,NO_STEM,80,0.5259537210756723,0.24213775284548728,0.0520377811943295,0.525,0.4625,False
preprocess,AMZN,573,573_AMZN_7,PRICE,80,0.6344590368980613,0.2469212453672312,0.2776505858476714,0.6375,0.625,False
preprocess,AMZN,573,573_AMZN_7,FULL,80,0.6869918699186992,0.23782342881093696,0.37433506329658833,0.6875,0.525,False
preprocess,AMZN,573,573_AMZN_7,CONTROL,80,0.7120075046904315,0.22211763034408274,0.4244133326339246,0.7125,0.525,False
