phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
later,AAPL,2018-11,L1_FILTERED_FINBERT,60,0.6446051167964405,0.65,0.3065833099137758,0.2517833575488518,0.6062291434927697,0.6666666666666666,False
later,AAPL,2018-12,L1_FILTERED_FINBERT,53,0.5208978328173375,0.41509433962264153,0.059199708643950626,0.30524381014900215,0.6563467492260062,0.8679245283018868,False
later,AAPL,2019-01,L1_FILTERED_FINBERT,63,0.485966735966736,0.5238095238095238,-0.030586777135731963,0.2754624142115761,0.49064449064449067,0.7142857142857143,False
later,AAPL,2019-02,L1_FILTERED_FINBERT,2,,0.0,0.0,0.4211920568767921,,1.0,True
later,AAPL,2018-11,L2_FACT_CHANGE,60,0.5350389321468298,0.5333333333333333,0.07039176447292891,0.2580003399048421,0.5127919911012236,0.45,False
later,AAPL,2018-12,L2_FACT_CHANGE,53,0.5162538699690402,0.5283018867924528,0.031318317018804824,0.2506881614548512,0.5356037151702786,0.4528301886792453,False
later,AAPL,2019-01,L2_FACT_CHANGE,63,0.41995841995842,0.4126984126984127,-0.15860619520032992,0.2773010363324308,0.4698544698544698,0.4444444444444444,False
later,AAPL,2019-02,L2_FACT_CHANGE,2,,0.0,0.0,0.31856819059466157,,1.0,True
later,AAPL,2018-11,L3_CASE_VOTE,60,0.4755283648498332,0.48333333333333334,-0.055307814943015565,0.2606988350256013,0.5239154616240267,0.7333333333333333,False
later,AAPL,2018-12,L3_CASE_VOTE,53,0.5743034055727554,0.5283018867924528,0.14860681114551083,0.2534822724974444,0.5928792569659442,0.6415094339622641,False
later,AAPL,2019-01,L3_CASE_VOTE,63,0.3991683991683992,0.42857142857142855,-0.20826242698861866,0.2599817991604568,0.44906444906444903,0.6507936507936508,False
later,AAPL,2019-02,L3_CASE_VOTE,2,,0.0,0.0,0.3843259879082276,,1.0,True
later,AAPL,2018-11,L4_LLM_ANALOGY,60,0.482202447163515,0.48333333333333334,-0.03565464589691842,0.2553661230791256,0.5139043381535039,0.5333333333333333,False
later,AAPL,2018-12,L4_LLM_ANALOGY,53,0.6037151702786377,0.5660377358490566,0.20337796751528228,0.2535056572871984,0.5758513931888545,0.6037735849056604,False
later,AAPL,2019-01,L4_LLM_ANALOGY,63,0.4106029106029106,0.42857142857142855,-0.1787941787941788,0.2641643012730046,0.4376299376299377,0.5873015873015873,False
later,AAPL,2019-02,L4_LLM_ANALOGY,2,,0.0,0.0,0.39167235035944825,,1.0,True
later,AAPL,2018-11,L5_GUARDED_SYSTEM,60,0.4755283648498332,0.48333333333333334,-0.055307814943015565,0.2606988350256013,0.5239154616240267,0.7333333333333333,False
later,AAPL,2018-12,L5_GUARDED_SYSTEM,53,0.5743034055727554,0.5283018867924528,0.14860681114551083,0.2534822724974444,0.5928792569659442,0.6415094339622641,False
later,AAPL,2019-01,L5_GUARDED_SYSTEM,63,0.3991683991683992,0.42857142857142855,-0.20826242698861866,0.2599817991604568,0.44906444906444903,0.6507936507936508,False
later,AAPL,2019-02,L5_GUARDED_SYSTEM,2,,0.0,0.0,0.3843259879082276,,1.0,True
later,AMZN,2018-11,PRICE_R1,60,0.5277777777777778,0.55,0.055978284637523995,0.2844212127969923,0.5173611111111112,0.6166666666666667,False
