symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,frozen,2019-01,no_semantic,63,0.4438669438669439,-0.1579494379477969,0.2564239081027195,0.5079365079365079,0.8108108108108109,0.07692307692307693,0.8571428571428571,1.0
AAPL,frozen,2019-01,no_body,63,0.5015592515592516,0.003909831197463945,0.2605205349751084,0.5555555555555556,0.8108108108108109,0.19230769230769232,0.8095238095238095,1.0
AAPL,frozen,2019-01,no_title,63,0.5207900207900208,0.05058430378626378,0.25655720503186263,0.5714285714285714,0.8108108108108109,0.23076923076923078,0.7936507936507936,1.0
AAPL,frozen,2019-01,uniform,63,0.5207900207900208,0.05058430378626378,0.2576288192536713,0.5714285714285714,0.8108108108108109,0.23076923076923078,0.7936507936507936,1.0
AAPL,frozen,2019-02,price,2,,0.0,0.39286160501397605,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,title,2,,0.0,0.3907109209162276,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,body,2,,0.0,0.4083408880370367,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,semantic,2,,0.0,0.4590555618167934,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,integrated,2,,0.0,0.4165272945726747,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,multi_only,2,,0.0,0.4165272945726747,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,no_semantic,2,,0.0,0.3949082071538282,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,no_body,2,,0.0,0.40836123759524934,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,no_title,2,,0.0,0.4165272945726747,0.0,,0.0,1.0,1.0
AAPL,frozen,2019-02,uniform,2,,0.0,0.4121022390710302,0.0,,0.0,1.0,1.0
AAPL,frozen,test,price,178,0.5179360869016041,0.044641892260775445,0.2720273876456652,0.5112359550561798,0.8160919540229885,0.21978021978021978,0.797752808988764,1.0
AAPL,frozen,test,title,178,0.5189465706707086,0.05202550290923069,0.26935835529561597,0.5112359550561798,0.8620689655172413,0.17582417582417584,0.8426966292134831,1.0
AAPL,frozen,test,body,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5112359550561798,0.7931034482758621,0.24175824175824176,0.7752808988764045,1.0
AAPL,frozen,test,semantic,178,0.5671340154098775,0.15225387872362858,0.2855781078563172,0.5617977528089888,0.8045977011494253,0.32967032967032966,0.7359550561797753,1.0
AAPL,frozen,test,integrated,178,0.5569028672476948,0.13753231867191915,0.26303161220456067,0.550561797752809,0.8390804597701149,0.27472527472527475,0.7808988764044944,1.0
AAPL,frozen,test,multi_only,178,0.5569028672476948,0.13753231867191915,0.26303161220456067,0.550561797752809,0.8390804597701149,0.27472527472527475,0.7808988764044944,1.0
