phase,symbol,flag,value,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AMZN,has_usable_text,0,F1_calibrated,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F1_calibrated,73,0.46537842190016104,-0.08490780809508194,0.24346139246721304,0.5901771336553945,0.14814814814814814,0.782608695652174,0.1917808219178082,False
development,AMZN,has_qualified_event,0,F1_calibrated,118,0.48943236714975846,-0.02177587319802537,0.2526161031515733,0.5782004830917874,0.32608695652173914,0.6527777777777778,0.3389830508474576,False
development,AMZN,has_qualified_event,1,F1_calibrated,8,0.4,-0.29277002188455997,0.244124581471911,0.3333333333333333,0.0,0.8,0.125,False
development,AMZN,has_original_news,0,F2_temperature,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F2_temperature,73,0.4440418679549114,-0.10981436312113849,0.2501799335154285,0.47665056360708535,0.5185185185185185,0.3695652173913043,0.589041095890411,False
development,AMZN,has_usable_text,0,F2_temperature,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F2_temperature,73,0.4440418679549114,-0.10981436312113849,0.2501799335154285,0.47665056360708535,0.5185185185185185,0.3695652173913043,0.589041095890411,False
development,AMZN,has_qualified_event,0,F2_temperature,118,0.447463768115942,-0.10286016413334878,0.2563906402721501,0.4993961352657005,0.4782608695652174,0.4166666666666667,0.5423728813559322,False
development,AMZN,has_qualified_event,1,F2_temperature,8,0.7,0.4472135954999579,0.2497568460083688,0.6,1.0,0.4,0.75,False
development,AMZN,has_original_news,0,F2_platt_shrunk,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F2_platt_shrunk,73,0.5,0.0,0.24601827025816636,0.47665056360708535,0.0,1.0,0.0,True
development,AMZN,has_usable_text,0,F2_platt_shrunk,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F2_platt_shrunk,73,0.5,0.0,0.24601827025816636,0.47665056360708535,0.0,1.0,0.0,True
development,AMZN,has_qualified_event,0,F2_platt_shrunk,118,0.5084541062801933,0.019630903342655794,0.2540877527827909,0.5320048309178744,0.2391304347826087,0.7777777777777778,0.2288135593220339,False
development,AMZN,has_qualified_event,1,F2_platt_shrunk,8,0.5,0.0,0.24574925925389957,0.6,0.0,1.0,0.0,True
development,AMZN,has_original_news,0,F2_calibrated,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F2_calibrated,73,0.5,0.0,0.24601827025816636,0.47665056360708535,0.0,1.0,0.0,True
development,AMZN,has_usable_text,0,F2_calibrated,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F2_calibrated,73,0.5,0.0,0.24601827025816636,0.47665056360708535,0.0,1.0,0.0,True
