symbol,seed,coverage,method,n,up,down,errors,can_modify,changed,repaired,introduced,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AMZN,575,news_without_target_paragraph,TFIDF_SVM,3,3,0,2,0,0,0,0,,0.2424111719308172,,0.3333333333333333,0.3333333333333333,False,0.6779195512654281,0.3333333333333333,
AMZN,575,news_without_target_paragraph,A1,3,3,0,3,3,1,0,1,,0.2660351613554907,,0.0,0.0,True,0.7252354266519488,0.0,
AMZN,575,news_without_target_paragraph,A2,3,3,0,3,3,1,0,1,,0.27879591534227965,,0.0,0.0,True,0.7508190805705558,0.0,
AMZN,575,news_without_target_paragraph,A3,3,3,0,3,3,1,0,1,,0.3026033375674774,,0.0,0.0,True,0.7990916725431743,0.0,
AMZN,575,news_without_target_paragraph,B1,3,3,0,2,0,0,0,0,,0.476139710992558,,0.3333333333333333,0.3333333333333333,False,1.253771543606968,0.3333333333333333,
AMZN,575,news_without_target_paragraph,B2,3,3,0,2,0,0,0,0,,0.476139710992558,,0.3333333333333333,0.3333333333333333,False,1.253771543606968,0.3333333333333333,
AMZN,575,news_without_target_paragraph,FULL_SHRINK,3,3,0,2,0,0,0,0,,0.2785372466920821,,0.3333333333333333,0.3333333333333333,False,0.7505856748746983,0.3333333333333333,
AMZN,575,no_news,FULL,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,no_news,TFIDF_SVM,389,213,176,176,0,146,69,77,0.5,0.2485731377929074,0.0,0.5475578406169666,1.0,True,0.6903038240762182,1.0,0.0
AMZN,575,no_news,A1,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,no_news,A2,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,no_news,A3,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,no_news,B1,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,no_news,B2,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,no_news,FULL_SHRINK,389,213,176,168,0,0,0,0,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False,0.689296097526622,0.676056338028169,0.4375
AMZN,575,target_paragraph,FULL,412,200,212,151,0,0,0,0,0.6315566037735849,0.25383580071459816,0.26564705950017536,0.633495145631068,0.42961165048543687,False,0.7899505457412425,0.565,0.6981132075471698
AMZN,575,target_paragraph,TFIDF_SVM,412,200,212,141,0,72,41,31,0.6564150943396226,0.22277105368928493,0.314335037182406,0.6577669902912622,0.44902912621359226,False,0.6379414192598999,0.61,0.7028301886792453
AMZN,575,target_paragraph,A1,412,200,212,139,412,82,47,35,0.6609905660377358,0.2288643850975531,0.3242411073414258,0.662621359223301,0.4393203883495146,False,0.650283508793912,0.605,0.7169811320754716
AMZN,575,target_paragraph,A2,412,200,212,144,412,87,47,40,0.6486320754716981,0.22982554989544038,0.29992145641407475,0.6504854368932039,0.4320388349514563,False,0.6522678541367941,0.585,0.7122641509433962
AMZN,575,target_paragraph,A3,412,200,212,136,412,73,44,29,0.6689150943396227,0.21986220140567708,0.33871006043707585,0.6699029126213593,0.46116504854368934,False,0.631884067293916,0.635,0.7028301886792453
AMZN,575,target_paragraph,B1,412,200,212,151,412,10,5,5,0.6314150943396226,0.26216728796359706,0.26574492397908794,0.633495145631068,0.42475728155339804,False,0.8190242577487654,0.56,0.7028301886792453
AMZN,575,target_paragraph,B2,412,200,212,154,412,61,29,32,0.625188679245283,0.2661348697123077,0.2510294611561014,0.6262135922330098,0.46116504854368934,False,0.9303458933334616,0.59,0.660377358490566
AMZN,575,target_paragraph,FULL_SHRINK,412,200,212,151,0,0,0,0,0.6315566037735849,0.23503245162596864,0.26564705950017536,0.633495145631068,0.42961165048543687,False,0.6642129228099004,0.565,0.6981132075471698
