symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,2018-02,prior,57,0.5,0.0,0.24659177389034204,0.5614035087719298,1.0,0.0,1.0,1.0,1.0,19
AAPL,forward,2018-03,title,62,0.46875,-0.0625978857295168,0.31364316001786985,0.46774193548387094,0.4375,0.5,0.46774193548387094,1.0,1.0,21
AAPL,forward,2018-03,price,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,body,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,semantic,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,joint_body,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,joint_semantic,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,static,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,gate,62,0.453125,-0.09414308348501883,0.3152197267325888,0.45161290322580644,0.40625,0.5,0.45161290322580644,1.0,1.0,21
AAPL,forward,2018-03,price_cal,62,0.45208333333333334,-0.09583333333333334,0.2990671105217728,0.45161290322580644,0.4375,0.4666666666666667,0.4838709677419355,1.0,1.0,21
AAPL,forward,2018-03,static_cal,62,0.45208333333333334,-0.09583333333333334,0.2990671105217728,0.45161290322580644,0.4375,0.4666666666666667,0.4838709677419355,1.0,1.0,21
AAPL,forward,2018-03,gate_cal,62,0.45208333333333334,-0.09583333333333334,0.2990671105217728,0.45161290322580644,0.4375,0.4666666666666667,0.4838709677419355,1.0,1.0,21
AAPL,forward,2018-03,selected_system,62,0.46875,-0.0625978857295168,0.31364316001786985,0.46774193548387094,0.4375,0.5,0.46774193548387094,1.0,1.0,21
AAPL,forward,2018-03,constant,62,0.5,0.0,0.25,0.5161290322580645,1.0,0.0,1.0,1.0,1.0,21
AAPL,forward,2018-03,prior,62,0.5,0.0,0.2510068658662881,0.5161290322580645,1.0,0.0,1.0,1.0,1.0,21
AAPL,forward,2018-04,title,63,0.4949596774193548,-0.010826670965770146,0.2896523790577809,0.49206349206349204,0.6774193548387096,0.3125,0.6825396825396826,1.0,0.9523809523809523,21
AAPL,forward,2018-04,price,63,0.5246975806451613,0.049696660496618174,0.2842764907752724,0.5238095238095238,0.5806451612903226,0.46875,0.5555555555555556,1.0,0.9523809523809523,21
AAPL,forward,2018-04,body,63,0.4632056451612903,-0.07903469805012206,0.2814858857191796,0.4603174603174603,0.6451612903225806,0.28125,0.6825396825396826,1.0,0.9523809523809523,21
AAPL,forward,2018-04,semantic,63,0.4435483870967742,-0.11359236684941297,0.3051968246208782,0.4444444444444444,0.3870967741935484,0.5,0.4444444444444444,1.0,0.9523809523809523,21
AAPL,forward,2018-04,joint_body,63,0.5272177419354839,0.060241449667687415,0.2717725765538608,0.5238095238095238,0.7419354838709677,0.3125,0.7142857142857143,1.0,0.9523809523809523,21
AAPL,forward,2018-04,joint_semantic,63,0.5252016129032258,0.05118310542552692,0.2964955275503901,0.5238095238095238,0.6129032258064516,0.4375,0.5873015873015873,1.0,0.9523809523809523,21
AAPL,forward,2018-04,static,63,0.5246975806451613,0.049696660496618174,0.28427649077527234,0.5238095238095238,0.5806451612903226,0.46875,0.5555555555555556,1.0,0.9523809523809523,21
AAPL,forward,2018-04,gate,63,0.5246975806451613,0.049696660496618174,0.28427649077527234,0.5238095238095238,0.5806451612903226,0.46875,0.5555555555555556,1.0,0.9523809523809523,21
AAPL,forward,2018-04,price_cal,63,0.5257056451612903,0.052926894897338775,0.27305453786518014,0.5238095238095238,0.6451612903225806,0.40625,0.6190476190476191,1.0,0.9523809523809523,21
AAPL,forward,2018-04,static_cal,63,0.5257056451612903,0.052926894897338775,0.27305453786518014,0.5238095238095238,0.6451612903225806,0.40625,0.6190476190476191,1.0,0.9523809523809523,21
