group,symbol,month,method,C,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AMZN|R0,AMZN,2018-07,R0,1.0,60,0.5,0.0,0.25954290245830564,0.10988171294972503,0.7333333333333333,0.5,False
AMZN|R1,AMZN,2018-07,R1,0.01,60,0.5333333333333333,0.07537783614444091,0.2445011478170417,0.02541153558494176,0.7333333333333333,0.5,False
AMZN|R1,AMZN,2018-07,R1,0.1,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.06576663349236549,0.75,0.5,False
AMZN|R1,AMZN,2018-07,R1,1.0,60,0.5666666666666667,0.15762208124782015,0.24935618761064768,0.09027626266270986,0.7666666666666667,0.5,False
AMZN|R2,AMZN,2018-07,R2,0.01,60,0.5666666666666667,0.17888543819998318,0.24629030318652592,0.0364067147379591,0.8333333333333334,0.5,False
AMZN|R2,AMZN,2018-07,R2,0.1,60,0.5333333333333333,0.09805806756909202,0.24053531389648466,0.11046714916832173,0.8666666666666667,0.5,False
AMZN|R2,AMZN,2018-07,R2,1.0,60,0.5333333333333333,0.08944271909999159,0.24176300567683642,0.08456112248294605,0.8333333333333334,0.5,False
AMZN|R0,AMZN,2018-08,R0,0.01,69,0.5301724137931034,0.06668178896847547,0.24604230011239683,0.062038164186442056,0.7246376811594203,0.5797101449275363,False
AMZN|R0,AMZN,2018-08,R0,0.1,69,0.6163793103448276,0.24122532033850386,0.23885286238001016,0.07156738035071841,0.6521739130434783,0.5797101449275363,False
AMZN|R0,AMZN,2018-08,R0,1.0,69,0.6336206896551724,0.274433014821148,0.23639304448909315,0.09366642050328541,0.6376811594202898,0.5797101449275363,False
AMZN|R1,AMZN,2018-08,R1,0.01,69,0.5474137931034483,0.10316934010406772,0.24276050427921458,0.060979492713419986,0.7101449275362319,0.5797101449275363,False
AMZN|R1,AMZN,2018-08,R1,0.1,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.07618485511535925,0.6376811594202898,0.5797101449275363,False
AMZN|R1,AMZN,2018-08,R1,1.0,69,0.6383620689655172,0.2798784825060619,0.22544673685564837,0.07816279573868815,0.6086956521739131,0.5797101449275363,False
AMZN|R2,AMZN,2018-08,R2,0.01,69,0.5331896551724138,0.08147349897041835,0.24461791252152032,0.05792667970084395,0.7971014492753623,0.5797101449275363,False
AMZN|R2,AMZN,2018-08,R2,0.1,69,0.5581896551724138,0.15155725230404785,0.23883945291198824,0.05239148724909366,0.8260869565217391,0.5797101449275363,False
AMZN|R2,AMZN,2018-08,R2,1.0,69,0.5879310344827586,0.22901984792611674,0.23672408524406116,0.0976771575217796,0.8260869565217391,0.5797101449275363,False
S2,POOLED,2018-03,S2,0.01,124,0.3956975228161669,-0.20846909961254162,0.2782162156170393,0.175281731176993,0.5161290322580645,0.47580645161290325,False
S2,POOLED,2018-03,S2,0.1,124,0.41499348109517603,-0.17206676415845742,0.3274942886162297,0.24471681296000136,0.5806451612903226,0.47580645161290325,False
S2,POOLED,2018-03,S2,1.0,124,0.42268578878748375,-0.15610071779020476,0.3449435157592701,0.2569539857039509,0.5725806451612904,0.47580645161290325,False
S2,POOLED,2018-04,S2,0.01,126,0.5275739944346066,0.059117201224899496,0.251960262820929,0.062453377696325106,0.6825396825396826,0.46825396825396826,False
S2,POOLED,2018-04,S2,0.1,126,0.5350366810017708,0.0746302627563131,0.26158089279869684,0.12298667576826983,0.6746031746031746,0.46825396825396826,False
S2,POOLED,2018-04,S2,1.0,126,0.5285858841386288,0.06216012764223446,0.2751276244382465,0.13011653758198302,0.6984126984126984,0.46825396825396826,False
S2,POOLED,2018-05,S2,0.01,131,0.5480952380952381,0.09667506603921944,0.24907260414626542,0.08186505774074576,0.4122137404580153,0.5725190839694656,False
S2,POOLED,2018-05,S2,0.1,131,0.5101190476190476,0.02009506803784357,0.2595630430172515,0.0861842335079227,0.4580152671755725,0.5725190839694656,False
S2,POOLED,2018-05,S2,1.0,131,0.5123809523809524,0.02466228244790838,0.267774606374567,0.10184091933347295,0.44274809160305345,0.5725190839694656,False
S2,POOLED,2018-06,S2,0.01,126,0.5236842105263158,0.04682929057908469,0.2501384212039389,0.1204793468229451,0.42857142857142855,0.6031746031746031,False
S2,POOLED,2018-06,S2,0.1,126,0.5363157894736843,0.07114914586232078,0.2467753761869906,0.0942641749459698,0.5238095238095238,0.6031746031746031,False
S2,POOLED,2018-06,S2,1.0,126,0.5160526315789473,0.03181769156177548,0.24583901076327985,0.09593198869723663,0.5793650793650794,0.6031746031746031,False
S2,POOLED,2018-07,S2,0.01,120,0.5272804774083546,0.05505600926768893,0.24394824598009957,0.05945176445098747,0.6,0.575,False
S2,POOLED,2018-07,S2,0.1,120,0.5626598465473146,0.1447135711636726,0.2421609382986766,0.10569091229463354,0.7583333333333333,0.575,False
S2,POOLED,2018-07,S2,1.0,120,0.545609548167093,0.10533572867015624,0.24290523557262161,0.09092726540039142,0.7583333333333333,0.575,False
S2,POOLED,2018-08,S2,0.01,138,0.5699088145896657,0.14055902285436916,0.2366165098099037,0.13090805002264616,0.6666666666666666,0.6594202898550725,False
S2,POOLED,2018-08,S2,0.1,138,0.5438391395838205,0.09228088306858848,0.2296776353990276,0.1251473987892048,0.717391304347826,0.6594202898550725,False
S2,POOLED,2018-08,S2,1.0,138,0.5599719429506663,0.12624024803782904,0.22762403554673782,0.13716933756217703,0.717391304347826,0.6594202898550725,False
S3,POOLED,2018-03,S3,0.01,124,0.4272490221642764,-0.14533152317968118,0.277721890554444,0.1436320916658319,0.5,0.47580645161290325,False
S3,POOLED,2018-03,S3,0.1,124,0.39960886571056065,-0.20441237255999084,0.3251175915764705,0.2491755724309584,0.5967741935483871,0.47580645161290325,False
S3,POOLED,2018-03,S3,1.0,124,0.44498044328552805,-0.11013967795074876,0.3389757741596999,0.2628297205648406,0.532258064516129,0.47580645161290325,False
S3,POOLED,2018-04,S3,0.01,126,0.536048570705793,0.07781969476362685,0.2518028779207672,0.06244205715086756,0.6904761904761905,0.46825396825396826,False
S3,POOLED,2018-04,S3,0.1,126,0.501138375917025,0.0023709933502206078,0.26381460603386114,0.1333021161807207,0.6428571428571429,0.46825396825396826,False
S3,POOLED,2018-04,S3,1.0,126,0.44080445231469767,-0.11937663087184827,0.2933850023797613,0.23290042826157406,0.5714285714285714,0.46825396825396826,False
